user_id,gender,country,age_group
1,,Iran,60+
2,,Iran,45-60
3,,Germany,45-60
4,,Ukraine,18-30
5,,Denmark,60+
6,,United Kingdom,60+
7,,New Zealand,45-60
8,,Turkey,45-60
9,,Canada,60+
10,,Iran,30-45
11,,Denmark,45-60
12,,Canada,30-45
13,,United Kingdom,60+
14,,United Kingdom,45-60
15,,Denmark,30-45
16,,Switzerland,45-60
17,,Australia,45-60
18,,Ireland,45-60
19,,Brazil,60+
20,,India,30-45
21,,Canada,45-60
22,,Canada,30-45
23,,United Kingdom,30-45
24,,United Kingdom,30-45
25,,Ukraine,30-45
26,,Iran,45-60
27,,Canada,45-60
28,,Ukraine,60+
29,,United Kingdom,30-45
30,,Spain,45-60
31,,India,60+
32,,India,60+
33,,Netherlands,45-60
34,,Australia,60+
35,,Norway,30-45
36,,Norway,60+
37,,Switzerland,60+
38,,Serbia,60+
39,,Brazil,18-30
40,,United Kingdom,60+
41,,Germany,60+
42,,Finland,60+
43,,Switzerland,30-45
44,,Ukraine,60+
45,,Denmark,60+
46,,Turkey,60+
47,,Serbia,45-60
48,,Canada,45-60
49,,Germany,60+
50,,France,18-30
51,,Mexico,30-45
52,,Brazil,45-60
53,,Mexico,60+
54,,Ukraine,30-45
55,,India,60+
56,,United Kingdom,45-60
57,,Netherlands,18-30
58,,Germany,45-60
59,,India,60+
60,,Brazil,18-30
61,,Iran,30-45
62,,Norway,18-30
63,,Denmark,45-60
64,,Serbia,30-45
65,,Germany,18-30
66,,Iran,60+
67,,Brazil,45-60
68,,Brazil,18-30
69,,Iran,60+
70,,Serbia,30-45
71,,Germany,60+
72,,Ukraine,45-60
73,,Ukraine,45-60
74,,India,30-45
75,,United States,18-30
76,,Finland,60+
77,,Finland,30-45
78,,France,60+
79,,Brazil,60+
80,,New Zealand,45-60
81,,Ukraine,30-45
82,,New Zealand,60+
83,,Serbia,45-60
84,,Ukraine,30-45
85,,Turkey,60+
86,,Norway,60+
87,,Ireland,45-60
88,,Australia,30-45
89,,Ireland,30-45
